ASTAR: Stopping Powers and Range Tables for Alpha Particles

SILVER                                                                  

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

3.000E+02 2.118E+01 8.211E-03 2.119E+01 
3.500E+02 1.897E+01 7.122E-03 1.898E+01 
4.000E+02 1.726E+01 6.292E-03 1.727E+01 
4.500E+02 1.590E+01 5.638E-03 1.591E+01 
5.000E+02 1.479E+01 5.108E-03 1.480E+01 
5.500E+02 1.387E+01 4.671E-03 1.388E+01 
6.000E+02 1.309E+01 4.305E-03 1.310E+01 
6.500E+02 1.243E+01 3.993E-03 1.243E+01 
7.000E+02 1.185E+01 3.724E-03 1.185E+01 
7.500E+02 1.135E+01 3.489E-03 1.135E+01 
8.000E+02 1.090E+01 3.282E-03 1.090E+01 
8.500E+02 1.051E+01 3.099E-03 1.051E+01 
9.000E+02 1.015E+01 2.934E-03 1.015E+01 
9.500E+02 9.834E+00 2.787E-03 9.837E+00 
1.000E+03 9.547E+00 2.653E-03 9.549E+00 
