ASTAR: Stopping Powers and Range Tables for Alpha Particles

XENON                                                                   

Kinetic   Electron. Nuclear   Total     
Energy    Stp. Pow. Stp. Pow. Stp. Pow. 
MeV       MeV cm2/g MeV cm2/g MeV cm2/g 

3.000E+02 1.990E+01 7.228E-03 1.991E+01 
3.500E+02 1.782E+01 6.272E-03 1.783E+01 
4.000E+02 1.622E+01 5.544E-03 1.623E+01 
4.500E+02 1.495E+01 4.971E-03 1.495E+01 
5.000E+02 1.391E+01 4.507E-03 1.391E+01 
5.500E+02 1.305E+01 4.123E-03 1.305E+01 
6.000E+02 1.232E+01 3.800E-03 1.232E+01 
6.500E+02 1.170E+01 3.525E-03 1.170E+01 
7.000E+02 1.116E+01 3.288E-03 1.116E+01 
7.500E+02 1.069E+01 3.082E-03 1.069E+01 
8.000E+02 1.027E+01 2.900E-03 1.027E+01 
8.500E+02 9.901E+00 2.739E-03 9.904E+00 
9.000E+02 9.572E+00 2.595E-03 9.575E+00 
9.500E+02 9.276E+00 2.465E-03 9.278E+00 
1.000E+03 9.008E+00 2.348E-03 9.011E+00 
